time,logger,level,database,message,exception
2013-07-03 16:54:50.4800,Raven.Database.Indexing.IndexStorage,Debug,<system>,Creating index Temp/GroupGivingEvents/ByIsFeaturedAndStartDateAndStateSortByStartDate with encoded name Temp/GroupGivingEvents/ByIsFeaturedAndStartDateAndStateSortByStartDate,
2013-07-03 16:54:50.6770,Raven.Database.Indexing.Index.Indexing,Debug,<system>,Creating index for Temp/GroupGivingEvents/ByIsFeaturedAndStartDateAndStateSortByStartDate,
2013-07-03 16:54:50.7060,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 1 because: PUT INDEX Temp/GroupGivingEvents/ByIsFeaturedAndStartDateAndStateSortByStartDate,
2013-07-03 16:54:50.7190,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2013-07-03 16:54:50.7190,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2013-07-03 16:54:50.7940,Raven.Database.Indexing.Index.Querying,Debug,<system>,Issuing query on index Temp/GroupGivingEvents/ByIsFeaturedAndStartDateAndStateSortByStartDate for: ( StartDate:{2013-07-03T16:54:48.0747196 TO NULL} AND IsFeatured:true) AND (State:SalesReady OR State:Activated),
2013-07-03 16:54:50.8920,Raven.Database.Server.HttpServer,Debug,,"Request #   7: GET     - 2,723 ms - <system>   - 200 - /indexes/dynamic/GroupGivingEvents?query=(%2520StartDate%253A%257B2013-07-03T16%253A54%253A48.0747196%2520TO%2520NULL%257D%2520AND%2520IsFeatured%253Atrue)%2520AND%2520(State%253ASalesReady%2520OR%2520State%253AActivated)&pageSize=128&operationHeadersHash=-1634301117",
2013-07-03 16:54:50.8920,Raven.Database.Server.HttpServer,Debug,,"	Query: ( StartDate:{2013-07-03T16:54:48.0747196 TO NULL} AND IsFeatured:true) AND (State:SalesReady OR State:Activated)
	Time: 2,635 ms
	Index: Temp/GroupGivingEvents/ByIsFeaturedAndStartDateAndStateSortByStartDate
	Results: 0 returned out of 0 total.
",
2013-07-03 16:54:50.9970,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'PageContents/views-home-index-cshtml' was not found,
2013-07-03 16:54:50.9970,Raven.Database.Server.HttpServer,Debug,,Request #   8: GET     -     0 ms - <system>   - 404 - /docs/PageContents/views-home-index-cshtml,
2013-07-03 16:54:50.9970,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'PageContents/views-home-index-cshtml' was not found,
2013-07-03 16:54:50.9970,Raven.Database.Server.HttpServer,Debug,,Request #   9: GET     -     0 ms - <system>   - 404 - /docs/PageContents/views-home-index-cshtml,
2013-07-03 16:54:50.9970,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'PageContents/views-home-index-cshtml' was not found,
2013-07-03 16:54:50.9970,Raven.Database.Server.HttpServer,Debug,,Request #  10: GET     -     0 ms - <system>   - 404 - /docs/PageContents/views-home-index-cshtml,
2013-07-03 16:54:52.5362,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'PageContents/global-header' was not found,
2013-07-03 16:54:52.5362,Raven.Database.Server.HttpServer,Debug,,Request #  11: GET     -     0 ms - <system>   - 404 - /docs/PageContents/global-header,
